week,on_team_id,player_id,name,position,slot,pro_team,proj_points,actual_points,injury_status,percent_owned,percent_started,eligible_slots,team_name,is_starter
,2,4429795,Jahmyr Gibbs,RB,,DET,0.0,0.0,ACTIVE,99.94,99.81,"RB,RB/WR,RB/WR/TE,OP,BE,IR",Lockout Lockdown,True
,2,4426348,Jayden Daniels,QB,,WSH,0.0,0.0,ACTIVE,99.87,96.22,"QB,OP,BE,IR",Lockout Lockdown,True
,2,4430878,Jaxon Smith-Njigba,WR,,SEA,0.0,0.0,ACTIVE,99.04,87.16,"RB/WR,WR,WR/TE,RB/WR/TE,OP,BE,IR",Lockout Lockdown,True
,2,4432710,TreVeyon Henderson,RB,,NE,0.0,0.0,ACTIVE,96.73,72.6,"Rookie,RB,RB/WR,RB/WR/TE,OP,BE,IR",Lockout Lockdown,True
,2,4683062,Xavier Worthy,WR,,KC,0.0,0.0,QUESTIONABLE,98.34,87.09,"RB/WR,WR,WR/TE,RB/WR/TE,OP,BE,IR",Lockout Lockdown,True
,2,4431299,Rome Odunze,WR,,CHI,0.0,0.0,ACTIVE,90.94,21.22,"RB/WR,WR,WR/TE,RB/WR/TE,OP,BE,IR",Lockout Lockdown,True
,2,-16023,Steelers D/ST,D/ST,,PIT,0.0,0.0,NORMAL,99.4,97.63,"D/ST,BE,IR",Lockout Lockdown,True
,2,4362887,Justin Fields,QB,,NYJ,0.0,0.0,ACTIVE,70.33,9.81,"QB,OP,BE,IR",Lockout Lockdown,True
,2,4819231,Kaleb Johnson,RB,,PIT,0.0,0.0,ACTIVE,83.9,4.42,"Rookie,RB,RB/WR,RB/WR/TE,OP,BE,IR",Lockout Lockdown,True
,2,4385690,Dalton Kincaid,TE,,BUF,0.0,0.0,ACTIVE,70.83,14.91,"WR/TE,TE,RB/WR/TE,OP,BE,IR",Lockout Lockdown,True
,2,3150744,Chase McLaughlin,K,,TB,0.0,0.0,ACTIVE,98.21,95.25,"K,BE,IR",Lockout Lockdown,True
,2,4032473,Rashid Shaheed,WR,,NO,0.0,0.0,ACTIVE,69.93,2.98,"RB/WR,WR,WR/TE,RB/WR/TE,OP,BE,IR",Lockout Lockdown,True
,2,4369863,Cedric Tillman,WR,,CLE,0.0,0.0,ACTIVE,42.57,1.78,"RB/WR,WR,WR/TE,RB/WR/TE,OP,BE,IR",Lockout Lockdown,True
,2,5081397,Dylan Sampson,RB,,CLE,0.0,0.0,ACTIVE,32.69,1.28,"Rookie,RB,RB/WR,RB/WR/TE,OP,BE,IR",Lockout Lockdown,True
,5,3117251,Christian McCaffrey,RB,,SF,0.0,0.0,ACTIVE,99.92,94.72,"RB,RB/WR,RB/WR/TE,OP,BE,IR",Enter Touchdown,True
,5,4047646,A.J. Brown,WR,,PHI,0.0,0.0,ACTIVE,99.87,97.92,"RB/WR,WR,WR/TE,RB/WR/TE,OP,BE,IR",Enter Touchdown,True
,5,4361307,Trey McBride,TE,,ARI,0.0,0.0,ACTIVE,99.87,98.97,"WR/TE,TE,RB/WR/TE,OP,BE,IR",Enter Touchdown,True
,5,3052587,Baker Mayfield,QB,,TB,0.0,0.0,ACTIVE,97.57,83.79,"QB,OP,BE,IR",Enter Touchdown,True
,5,3915416,DJ Moore,WR,,CHI,0.0,0.0,ACTIVE,96.18,63.3,"RB/WR,WR,WR/TE,RB/WR/TE,OP,BE,IR",Enter Touchdown,True
