week,game_id,game_date,home_team_id,away_team_id,home_team_abbrev,away_team_abbrev
1,401772810,2025-09-08,3,16,CHI,MIN
2,401772936,2025-09-11,9,28,GB,WSH
2,401772724,2025-09-14,10,14,TEN,LAR
2,401772725,2025-09-14,4,30,CIN,JAX
2,401772726,2025-09-14,33,5,BAL,CLE
2,401772727,2025-09-14,20,2,NYJ,BUF
2,401772728,2025-09-14,15,17,MIA,NE
2,401772729,2025-09-14,11,7,IND,DEN
2,401772730,2025-09-14,22,29,ARI,CAR
2,401772833,2025-09-14,18,25,NO,SF
2,401772834,2025-09-14,6,19,DAL,NYG
2,401772835,2025-09-14,8,3,DET,CHI
2,401772836,2025-09-14,23,26,PIT,SEA
2,401772837,2025-09-14,12,21,KC,PHI
2,401772919,2025-09-14,16,1,MIN,ATL
2,401772715,2025-09-15,34,27,HOU,TB
2,401772811,2025-09-15,13,24,LV,LAC
3,401772937,2025-09-18,2,15,BUF,MIA
3,401772731,2025-09-21,16,4,MIN,CIN
3,401772732,2025-09-21,17,23,NE,PIT
3,401772733,2025-09-21,10,11,TEN,IND
3,401772734,2025-09-21,30,34,JAX,HOU
3,401772735,2025-09-21,24,7,LAC,DEN
3,401772736,2025-09-21,26,18,SEA,NO
3,401772838,2025-09-21,29,1,CAR,ATL
3,401772839,2025-09-21,21,14,PHI,LAR
3,401772840,2025-09-21,27,20,TB,NYJ
3,401772841,2025-09-21,28,13,WSH,LV
3,401772842,2025-09-21,5,9,CLE,GB
3,401772843,2025-09-21,25,22,SF,ARI
3,401772844,2025-09-21,3,6,CHI,DAL
3,401772920,2025-09-21,19,12,NYG,KC
3,401772812,2025-09-22,33,8,BAL,DET
4,401772938,2025-09-25,22,26,ARI,SEA
4,401772632,2025-09-28,23,16,PIT,MIN
4,401772737,2025-09-28,19,24,NYG,LAC
4,401772738,2025-09-28,34,10,HOU,TEN
4,401772739,2025-09-28,1,28,ATL,WSH
4,401772740,2025-09-28,2,18,BUF,NO
4,401772741,2025-09-28,12,33,KC,BAL
4,401772742,2025-09-28,13,3,LV,CHI
4,401772845,2025-09-28,27,21,TB,PHI
4,401772846,2025-09-28,8,5,DET,CLE
4,401772847,2025-09-28,17,29,NE,CAR
4,401772848,2025-09-28,25,30,SF,JAX
4,401772849,2025-09-28,14,11,LAR,IND
